Target,Cleaned
1,नेपाल बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस वा बाैद किराँत मासेर किश्नन बनाउने यिनै देश सब स्रम्पदा मासने बाहुन खोल्ड अोडने
0,खुसि लाग्यो सर अघि बड्दै जानुस् जनता हजुर
0,उहा काे हाैसला काे लागी समर्थन गराै
1,नेपाल प्रहरी कति लाचार अनि भ्रष्ट त्याे राम्ररी बुझिए बिषय हाे स्पष्टीकरण दिनुपर्दैन सब प्रहरी नेता चाकरी भतुवा
0,आवाज बनेर रबि सर कार्यक्रम याउदा ज्यादै खुशी
1,नेपाल प्रहरी गतिविधि ठिक लाग्दैन
0,पिडित नेपाली न्याय निसाफ दिइ रहे छन युग पुरुष रबि
1,रारी गतिलो होइनेस बोल्ने पोइ खाइरालिस
0,सीधा जनता कार्यक्रम हेरी हाल्ने ईच्छा
1,देउता बेच्न लागे बाहुन क्षेत्री
0,द्वारिकालाल जनप्रतिनिधी एउ टा हैन देश हजारौ जन्मिनु अनि देश सम्बृदी अघि बढ्न मेयर साप सलाम
0,अबत वाक्क देश काचुली फेर्नु रबि जी प्रधान मन्त्रि बनाएर देश विकास
1,गुरु दुनियाँ छोरी चेली योन दुव्र्यवहार छानबिन कार्बाही गरीयोस
1,गल्ती धाकछोप खोजी
0,रबि लामिछाने दाइ समर्थन जति यता हाजिर गरौ साथी
1,विद्या देवि खराब प्रबृत्ति मान्छे नेपाल रास्ट्रपति पद बस्छे कहिले बिकाश हुदैन
0,नेपकौ केपि कुकुरलाइ गौलि हानुपरछ कुकुर डाकालाइ
1,जनता जागिसके बुझ पार्टी झोले
0,हिजो युटुबे प्रश्न सोधाइ हेर मुजि
0,सब केपि सिकाएछ यत्रो बर्ष बुझने अहिले नबुझ्ने चाइ कुन चाहिँ राम्री होउ छि छि
0,पहिला डिआईजी साब अस्पताल लगेर ज्ञानेन्द्र शाही निल डाम देखाएर अन्तर्बार्ता लिनु अनि थहा
1,नेपाल सरकार विश्वास
0,शशिल दाई प्रश्न सोधाई चाहि मान्छु
1,कस्तो पत्रकार
1,जनजाती आदिबासी क्षेत्री बाहुन मुख राम राम हात छुरा हुदैन सफा मन कुल मान घिसिंङ्ग द्ववरीक चौधरी प्रमणित गरे
0,राजेश जि फ्यान यार
0,नमस्कार भिमार्जुन सर निडर भयर बोल्नुस तपाई
0,मिलेर खाउ भाले चाेर
1,अशिक्षीत ज्वलन्त ऊदाहारण राष्ट्पति
0,नेपाल मान्छे नाम अनि सुची कुलमान गनिनु
1,भोलि राडि चढे गाडि भोलि आउने गोरु नचढ्ने
0,रिसि टा प्रश्न खरो बा अरुलाइ बोल्न देउ
0,वा वा होनित समर्थन बधाई
0,खाना सुत्न छाेड्न रबि सरकाे कार्यक्रम रबि सरकाे दर्शन नगरि बस्न सक्दिनँ
1,चुथ्थो काङ्रेस बुरुक्क उफ्रेर जित्न खोज्छ
0,रबि सर प्रधानमन्त्री देस परिवर्तन छाडने बाचा भो
1,सबैभन्दा पहिला प्रचण्ड सिध्याउनु जरुरी
1,डिस लाइक देश निकाला
0,पुन्य गौतम ओलि पाल्तु कुकुर
1,भतुवा नेता देश विकास
0,रवीन्द्र मिश्र सर सोज विचार नेता देश अहिले एस्तो अवस्था हुन्न
0,जनता साधारण मेयर प्रधानमन्त्री मुलुक खाचो
0,देश गहना रामकृष्ण ढकाल घर लिलामी साह्रै नमज्जा लाग्यो
1,डिसलाईक गधा नेता गोठाला आजै मर साले खबर डिसलाईक चोर
0,प्रस्न उतर दिन नसक्ने कुकुर पोखरेल नाक लगाइस
1,राडी रन्डी बौलायो आफु चोती हैन चोती गर्नै दिन्न
1,नं चोर दिल निसानी लेडे
1,गणतन्त्र मुर्दावाद राजतन्त्र जिन्दाबाद नारा लगाइ मानव सागर सडक आइसके झोले कस घुसखाएर बिरोध यंहा भ्रष्ट तन्त्र टीम
0,कुन कुन मुजी खाते छन हात उठाउ ओलि दाहल देउबा सोझो
1,खाइसके पचि बाथरुम जानू लाइन युज गरिसके बिल तिर्नु थाह जंगली
0,सुशील जि धन्यवाद जन्ता आवाज बि
0,भीमार्जू आचार्यकौ कूरा सहि
0,गगन थापा नेता इन् सलुट
0,नायक फिल्म बलीउड बनायो रियल नायक नेपाल जन्माए बिश्वास दिन नायक फिल्म सशक्त शासन् रवि लामिछाने
1,पाण्डे भ्रष्टाचारी मतियार झैँ लाग्यो अन्तरिम सरकार निकाल्ने बितिक् कनपारो तात्यो
1,साले खाते सोम पान्डे थु
0,युबराज दाइ फेस देख्दा मन छोयो खुसी छैनन दिन
0,रवि सर चुनाव लडनु मिलेर रवि सर प्रधान मन्त्री बनाउनु
0,काम गरे तेरो सरकार साला पुर्ती लाउछस
0,कुलमान सर सलाम
1,सालेनी मुख शही ठाउँ
1,सुरेन्द्र मान्छे दहिचिउरे
1,शबै चाेर नेता परचनद महाचाेर जनता मारने शमपति बैक लुटने देश टुकराउने शमुद्व डुबेर मारउ
0,कुकुर पत्रकार साला जबर्जस्ती माफ माग्न लगाउने तँ कुकुर
1,भ्रश्ट्चारी टुंडिखेल ल्याइ झुन्ड्याएर गोलि ठोक्नु
0,पत्रकार बन्नु रबि दाइ हजुर बुद्ध
1,कार्यक्रम अति मजा कुराबुजियना जना यकैचोटी बोल्न दिनुभयन
0,सहि सदुपयोग
1,स्तर अशिष्ट असहिष्णु अहम मैनत्त मान्छे नेता नेकपा नेताकार्यकर्ता दुख लाग्छ लाग्दैन
1,मन्त्री ठुलाे नेता पौडेल भुमाफिया दलाल बिचरा मन्त्री पद होईन राजनीतिक जिवन समाप्त अनि कार्वाहि
1,हैना बिस्वो वेक्ती नेपाल प्रहरी प्रवक्ता कुन भाते बना
1,देश दु खद मर्दा तेत्रो हेलिकप्टर नोक्सानी गरेरै मर्यो
0,भोलि नाक फुटाएकाे नेता नाक बक्सिङ्ग हान्छु बस्छ
1,नाके उल्टो उल्टो गर्छस
1,पैसा कमाउने बाहाना धमाल यनि परश्न हजुर उत्तर भनेर
0,कसरि पत्रकार भोडगधा
1,नेपाल राज्य ऐनकानुन भै सरकारी जमिन ब्याक्ति नाम
1,यिनै राडिकाछोरा देश बिकास नसके
1,कार्यक्रम सुरुवात चरणनै खुब मन रबि सर हामिलाइ रबि सर खुबी वाला युवा आबास्यकता देश भ्रष्ट दलालि डलरे नेता घोक्रे ठ्याक लायर राजनीति बाट लखेट्न मन
1,प्रचन्डे हत्यारो झुण्डयानु
1,देश मुल समस्या भ्रष्टचार
0,भएनी भन्नू रास्ट्रपति गलत
0,हाे जनताकाे सच्चा नायक
0,एपिसोड बाट रबि सर सिर सगरमाथा उच्च
1,दलाल भुमाफिया भस्त्रचारी पीत पत्रकारीता छाद्नु हुदैन
1,नेपाल कल कर्खाना नदि नाला बेची सके मठ मन्दीर बेची खाने नियत
0,चिज बिजुली प्रयोग कुलमान घिसिङ सर सहयोग गरौँ
1,मुजि नेकपा गुखा नेता बोली हेर्दै चोर लाग्यो
0,साझा पार्टी अाउ नेपाली माझ
0,आवाज बिहिन आवाज रबि दाइ सलाम
0,वा बोली पत्रकार मित्र ज्यु छड्के सलाम हजुर धन्यवाद
0,दाहाल सहि
0,नेपाल इमरान खान लीक्वान यु माथीरबीन महमद उफ रबीन्द्र मीश्र जीन्दाबाद जीन्दाबाद
0,गणतन्त्र मृदाबात राजतन्त्र जिन्दाबाद केपी ओली प्रचण्ड गद्धार
1,जनता भेदा रास्ट्रपति बनायर
1,जति बहस गरेपनि राजा जनता फा जङ्गल कन्दमुल खाने जंगली फा
1,नेता तिराउनु
1,मन्त्री ज्यु घुस लेनदेन मालपोत कार्यलय
1,कस्तो मुर्ख तर्क कस्तो मुर्ख प्रश्न धमला
1,जना कुत्ता कुन चाहिँ युग छन
1,हेलो पुलिस भुक्ने मान्छे सग थोरै नैतिकता इजत पद बाट राजीनामा दिएर बुढी लुगा धुदै घर बस
0,दीपक गिरी
0,कुलमान प्रेम सन्जेल सरकारी कर्मचारी रबी अपील तिर्पाथी पत्रकार भयसी
0,देश बनाए एहि सरकार बनाउछ अरु खोज्न थाल्यो देअ बर्श जान्छ
0,पुण्य मेरूदण्ड फुस्किने ठोक्नुपर्छ है साथि
0,ऋषि धमला सङ्ग सिक पत्रकार कस्तो पत्रकार विपक्ष सत्ता रहे कोहि खबरदारी
1,दलिय गुन्डा राजनीति सालदेखी देश ढाल्न प्रयास गरे
0,सत्य तथ्य पत्ता लगायेर गल्ती गरे पाइये कार्बाही
1,बेकाम आइमाइलाइ गाली गरे स्पस्ट कुरो आउन देउन पहिला
0,हाइ रबि नमस्कार हजुर करोड जन्ता भगवान जै जै रबि सर
0,सुसिल पान्डे रबि हिरो प्रहरी प्रबक्ता अक बक्क पार्नु भय बधाइ
1,भारत कुकुर जन्ता मिलेर फाँसी देनु देश लुटने चोर
0,सुशील जि ठिक है प्रश्न गराई
1,पुन्य गौतमे झोले पो गाठे
0,सत्य बोल्नु
1,पश्चि दलाल प्रचनडे चोर
0,मेएर साब सलुट तपाई हजारौ मेएर खाचो पत्रकार सब पईसा बिक्ने खाले
1,गणतन्त्र आजित भैसके जनता राष्ट्रबादी राजतन्त्र सयौंगुणा ठिक
1,जथाभावी राखनुपर्यो भन्या प्रगती गरे
0,धाेती चाेर खाते नेपाल अएर नेपाली चेलीबेटी फासी गनुपछ बलात्कार
1,नेता बलत्कारी घुसखोरी मारेउ तिमि नेपाली जन्ता
0,डाका भन्दात राजानै ठिकछ
0,ठेट्ना तर्क चर्को बोलेर जित्ने पक्ष छ्न्
0,सरकार अदालत प्रहरी सेना अखितियार सरकार निकाय घुन मुशा देश खोकरो बनायर खाईसकयो जनता शिह बनेर यि मुशा दुला खोदी खोदी मारछन
1,पुन्य प्रसाद भुके प्रश्न उत्तर भातमारा
1,थुक्क दिप नारयण रिजाल
0,काम जानुहाेला समर्थन रबिन्द्र सर
1,दोहोरो भिडन्त ठाउ हात भाचिए प्रहरी झुठो बोल्दैछ
0,मेयर साप भनाई सम्मान राजेन्द्र असल पत्रकार मेयर बैकक होलीवाइन खाना जानु भो भनेर सोधे प्रश्न आपत्ति
1,भ्रष्ट नेता मर्नेछन
1,हिज समम बिराेध रिसि सर अाज ठुला ठुला कलाकार सपाेट दिय जसतै गरेकाे पिटिक सुहायन रिसि सर हजुर
0,द्वारिकाजस्ता सोझो सरल इमान्दार मान्छे मेयर हुनि रैछ्न
0,भारत दोक्लाम बिषय जोडेर प्रश्न उठाउने वाईडबडी हाँसोलाग्दो प्रश्न पत्रकार कान उखेलेर उठबस गराएर प्रश्न सिकाउन जरुरी
0,शुरूवात संगै अनुहार नहेरी सहि नतिजा राष्ट्र पक्ष चाडो आउनु
0,पाउना स्वागत
0,निखिल दाई बोलि नेपाली माटो सुन सुगन्ध बासना अायो यसरिनै नेपाली झन्डा बोकौ पाटि झन्डा छोडौ उहा बोले सलुट निखिल ज्यु रबि दाई जसरि रिहा गरियोस जय पशुपति नाथ
0,खरो रुप बद्दै जानू
1,चम्चा
1,भसतचारि मन्त्री कोहि चाहिदैन तेप तिपि लजाकाल
0,नेपाल पत्रकार कम पुत्रकारी छन सलाम मियर ज्युलाइ जय नेपाल
1,कुल्मान सर कमिसन खोर कार्बाही भयन
1,मान्त्री गाली बिनाबाउ केटाकेटी नकरात्मक कमेन्ट अफैँ थुक्ने काम गरे
0,धन्यवाद सुशील पाण्डे सर ज्ञानेन्द्र शाहि अाफै भेट्न जानू भयाे
1,कम्युनिस्ट पार्टी पार्टीगत रुपमै भ्रष्ट
1,बलात्कारी
0,रबि सर जेल जानुनै अझ इख मान्छे इख मन आगो भएर जन्मिने देखाउन जरुरि देस जनता नेपाली
1,पुणय महा झोले भिजिलान्ते हरामी
1,असिक्षित उनि नेता मान हानी
1,प्रहरी प्रबक्ता काम बर्दी फु
1,भन्न सिक्नुहोस पत्रकार ज्यु राजा ल्याङ्गफ्याङ्गे लफङ्गो मन्त्री हैन
0,सुशील सर पत्रकारीता मन छोयो
1,मेअर घमण्डि रैछ देस नियम कानुन मानु
0,भयपछी छोरा छोरी बोल्न सुन्न नसक्ने भयपनी मन बुझ्नु
1,तहतब् चोरै चोर
0,मेयर दिल
1,बम परिवार साबित्री लाखौ रूपैया किनी सकेछ कति पैसा बिक्यो साबित्री सुवेदी
1,नेता भनेसी चिड लागिसकेव यार गल्ती याचना नगर्ने आफ्ना ढाकछोप
0,वा रबि सर सबैकाे मन मष्तिक बस्नु भयाे बधाई
1,गम्भीर काेहि देश जनताकाे सव खाेक्रे सर्वगुण सम्पन्न भएकाे नाटक गरिरहे छन यिनि रमाईलाे पाे भईरहेकाे
1,रिसि धमला डाका कस्तो हल्का तर्क मुला दलाल केपि अोलि प्रचण्ड चम्चा भारत गुलाम
0,प्रधानमन्त्री चही यक्सन लिने खाल् नेपाल
0,सच्चा नेपाली मन रबि दाइ अबा पालो प्रधानमन्त्री शुभकामना धन्यवाद
0,मान्छे रबिन्द्र दाजु
0,चाँडोभन्दा चाँडो वहाँ समस्या समाधान
0,माफी नमाग्नु मेयर जि तपाई सहि
1,उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ दलाल सरकार काठमाडौं नेवार समुदाय सस्कृती मेट्ने कुचेस्टा गरिस
0,सेर बहादुर जिब्रो लागे करेन्ट बिधा भण्डारी जिब्रो लगाइदिये भय
1,भणडारि लई कालोमोसो लगाएर भगउनु तर्क चै खालि
0,रविन्द्र मिश्रकाे हाेअाैँ
1,नेपालि पत्रकार पाटी दलल अनि गुसिया इसारा चल्छन
1,मुन बिर्यपान धर्म बेचे गुठि बिधेक ल्याएर मठ मन्दिर अनि देशै बेचेर खान्छन् मुन सन्तान
0,इज़्ज़त बिश्वराज पोखरेल राजिनाम दिनुहोस
1,रिप
0,डा साब सहि मुलुक सङ्घियता चल्दैन बिकल्प खोज्नै चोर छाडा तत्र त्याग्नै
1,कस्तो कमिनीस्ट माचिक्ने झुट कती बोले जाठा कमिनीस्ट नेता भनादा
0,कुन मान घिसिङ सपोर्ट गरौ देश भरि उज्यालो बनाउन
1,आफु होल्डर भनि हुंकार केपी नेकपा अंधभक्त झोले नेता जंगली ब्यबहार प्रस्तुति हेर्दा लाग्छ ब्यक्ति सभ्य सभ्यता पाठ सिक्न बाकि मपाइत्व घमण्ड बुद्धि हार्दिक श्रदांजलि
0,अन्तरबार्ता हेर सुरेन्द्र कमरेड
0,डा सुशील पान्डे देश बुद्धिमान पत्रकार
1,तेत्रो बिज्ञा राजनिति ज्ञान हासिल गरे महिला अहिले अायर अारोप
1,पुलिस गुण्डा राजनीतिक दल झोले देश जनता दुःख पाइरहे घिनलाग्दो सरकार अन्त्य गरीब जनता खुलेर जिउनु अधिकार सरकार मिलाहोस्
1,पत्रकार चाई गरे छुट अनि मेयर चाई आवेश बोले पत्रकार पहाड बनाए
0,सहि विश्लेषण केशी डा साब मिडिया नेपाल चुतिया छ्न एउटा सहि लेख्दैनन
1,एकपटक सुर्य पाठक अरिङ्गाल भिडनु मन
0,रवि बाघ जना झोले कुकुर भुक्दै
0,एउ टा धोको रबि लामिछाने प्रधानमन्त्री हेर्न पाउ रबि सर जिन्दावाद
0,युवा नेता युवानै सहि भन्नू गगन थापा जियु
0,साला कुकुर पुन्णु लात हानेर आउट कुकुर बलतकारि यइ
0,काठमाडौँ गुठि संचालन प्राय किसन गरिराखे भूजनु स्वोर्गद्वारी समस्या उतै समाधान काठमाडौँ कोठा
1,तेर्साउने ऋषि धमला कार्यक्रम अतिथि जाने सोच्नु बेला धमला बात संचालित
0,भ्रस्टचारी उल्मुल सुरेन्द्र भण्डारी ज्यु दम तरिका बाट जानु भ्रस्टचार खानि कम्निस्ट भाश्रण सासन
1,धमला अरु बोलाए गेस्ट सुन्न नसक्ने कस्ता पत्रकार
0,रभि लामिछाने दाइ पत्रकारीता जगत हिराे हात यता ठडाम
1,दिनेश त्रिपाठी नेपाली कांग्रेस युरोपेली मुलुक दलाल त्यहा बाट पैसा खायर अपराधि वकालत
1,घन्टा बिना प्रमाण कति कमीसन लिएर बोले
0,हिन्दू राष्ट्र सहित राजतन्त्र आउनु
1,उफ्फ हेर हेर सभामुख धाकछोप बर्ष निकाल्दै कस्तो पिचास
1,गएर केपि काे पिके काे मुत खा
1,जेल कोचेर पात्ता फर्काउनु
0,ज्यु
0,साले कुकुर पत्रकार चुतिया तो इन्डिया चिन्ता लाग्यो जानू उतै मुन्टिनु कुकुर
1,पान्डे सर सामु रिशी धमला
0,सुरक्षा नेपाली चेली है
1,मुजि केपि चम्चा गोलि खाना मन लायो
1,शेरबहादुर कुर्सी नपाए रीस बिद्धाया देबि भन्डारी पद घमन्ड एही
1,काठमान्डौ खाल्डा देखाउन छाडेर देखायर खोजे सुन पितल सरकार
1,अधिकारी पशु मान्छे बालुवाटार जग्गा बेची खायौं अझ गुठी छोड्छौ दलाल थुक्क नलायक पशु
1,राजा बिकास गरेन रे अबे राजा बिकास नगरे तेरो बाउ आएर देश बिकास गरे
1,याे नेकपा काे झाेले काे पिम कुन पिएचडि गरेकाे साेभनु हाे साला मिडिया साेर मच्चाए हाे कसताे युबा हाे
1,हिजो बम्म बैहिनी हुन्न हत्यार भनेर बुरुक बुरुक मिडिया यहि पागल्नी कराए
0,आत्मा सान्ती पाउनु
0,जतिसुकै जना मुछिय कडा कडा कार्बाही केपि प्रचण्ड सेर बहादुर जोसु नाक डाडी भाच्नु माननीय प्रदीप यादब यक्दम ठिक
1,तस्कर मिलेमतो आत्मनिर्भर उत्पादन क्षेत्र शून्य
0,धन्येबाद एभिन्वुज कार्येक्रम सन्चालक ज्यु छान्बिन प्रक्र्ये भिडियो प्रसारण मिडिया नखोजि रबिलामिछाने हिरासत लाने वाआअ एस्लाइ प्रहरी कालो कर्तुत अथबा भर्स्त दबाब कारण कस्तो न्याए
1,कांग्रेस सहरमुखी गाउँ गाउँ बाट बिचार बिकास स्वास्थ्य शिक्षा काम सुधारिने नेतृत्व फेरेर गगन जस्ता अगाडी बढाउ बोकेर ल्याए हुँडार काठाबादी कम्यूनिष्ट फ़ासिस्ट हुनुभन्दा बिकल्प रोज्नेछन् बेलै होस पुर्याउँ
1,राफेल भ्रष्टाचार कोपि हवाइड वडो थाहा
0,निमेष बन्जाडे ज्यु प्रस्न प्रस्तुति अति गहन
1,सोमत नभा नी राष्ट्रपति
1,धमला लाटा केसि व्यंग बुझेपो
0,कुलमान सर बेज्जत नगर्नुहोस् पत्रकार ज्यु
1,गोबर पत्रकार छिछिछि
1,नेपाल प्रहरी प्रचण्ड आदेश रबि फँसाउन खोजे छन
1,तँ कुकुर तल्लो स्तर मानिस होस
0,यस् सहि उत्तर दिन्न जति र्याखर्याक्ती पारे बहुप्रतिभा धनी पत्रकार सुशील सर
1,साला नालायक तँलाइ भेट्यो तेरै माइक थुतेर तेरो मुख फुट्ने बजाउछु साले बोल्ने शैलि थोप्पो नरहेछ गधा
1,जेसु भनोस लोकतन्त्र गणतन्त्र सर्बसाधारण जनता पक्ष काम गरे केबल नेता श्रीमती छोराछोरी बुहारी झोला बोक्ने झोले फाइदा पुर्याए
0,मेयर अध्ययनलाइ सलाम शैली अलिकति परीवर्तन परो भष्टचारी लोप्पा गोली ठोक्नु
1,कमाउनिस्ट पतन शुरु भो
1,पोख्रेल सरकार आशीर्वाद बाट प्रवक्ता यिनी जनता वफादार हुनै सक्दैनन्
0,रविसर रिहाइ गरियोस
0,भुमिपुत्र छोरा होनि चौधरी साहेब
1,प्रचण्ड उस छाउरी अनि किशोर जेल हाल्नु यता हाजिर
0,लाज सरम पचे चोर दलाल
1,कलन्कि मालपोत हाकिम शालिकराम भन्द पछाडि आत्महत्या अख्तियार प्रमुख नाम सुसाइट नोट उस्लाइ नसमाते
1,मगन्ते नक्कली स्वागत
0,पन्चायत यता नेता सम्पत्ति सुदृढीकरण
1,लुट्नि बानि परेको लुट्नै मन लाग्छ केस ठोक्ने हाल्ने
0,पार्टी एजेन्डा सारै
1,घाँस रैछ मन्त्री
1,सानो रास्ट्र संघीयता काम
0,कुल मान सर सहयोग गरौ
0,प्रत्रका हाेस सुशील पाण्डे जस्ताे हाेस ऋिसि जि सिक्नुहास
0,सुर्खेत मुख्यमत्री ल्याउनु परो सर
1,डुङ्गडुङ गनाए चोरहरुलाइ बर्ष प्रधानमन्त्री प्रधानमन्त्री कर्मचारी भष्टचारि टुडिखेल राखेर कन्चठ गोलि ठोक्छु
1,झोले पाठक ओली प्रचण्ड तलुवा चाटेर झुट
1,इतिहास बिरसेर नेताकाे चाकरी बाेलने साहि तिमराे साल हाे
0,आवस्यक परे खण्ड प्रहरी न्यायाधीश अख्तियार बन्नुपर्छ तपाई
0,रबि दाजु नेपाल प्रधानमन्त्री नेपाल अा मुहार कत्ति हँसिलो
1,यसभन्दा भाते अालोपालो सत्ता पाजी
1,पाठक फेस्बुक हेर्छन जनता चाहना णै थाहा
0,ओलीनै चोर नगरम भो
1,राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि शासनसत्ता हात लिनेछ्न
1,गलत् पत्रकार अनी घुस्खोरि हान्नै
0,रबि लामीछाने जस्ताे पत्रकार पाउनु नेपाल नेपालीहरूकाे गर्व काे बिषय हाे
0,काम आशा गरे
1,सरासर गलत नियत लालि गुरांस सहकारी संस्था
0,बाबुरम भट्टराई
1,जनता तिरे कर मस्ती देस नेपाल
1,देस धमिरा किरा देस खोक्रो पारे
1,तेरिमा माचिक्ने रन्डि बान
0,खाते पत्रकार नाक डाँडि होईन हात खुट्टा भाँचिदिनु साले कुकुर
0,भरसटचारी पारन मेयर चौधरी जनप्रतिनिधि नेपाल चाहिनछ
1,गगन थापा जि भासण कति सुन्यौं कति एउ टा नेपाली बुझुन हहि गरिकन एउ टा खुट्टा तान्ने पाती जाति धर्म अनावश्यक बिसय बस्तु उथाएर नेपाली नेपाली बिच लदाउने खेल
1,नेपाल प्रहरी दलालि हाे पद लिलाम गर्छाैं पाेखरेल
0,दुर्घटना प्रत्यक्ष्य दर्शी सुन्न पाए
0,देश राजा आवश्यकता
1,रबि दाइ हामि जनता मिलेर सरकार ढाल्नेछौ
1,सुशील जि प्रस्न पूर्वाग्रहि
1,समस्या समाधान भ्रष्ट राज्य सत्ता अन्त्य हौ
1,जरा गाडे मुला रुख बनिस ल्याङ्ग गरे यार बिस्व् नम्बर भर्स्टाचार मुलुक बित्तिकै थाहा पाउन
0,सलाम सुशील सर
1,हैट खाल पत्रकार प्रस्न सोद्छ
1,प्रहरी प्रशासन काम
1,मुलुक आझ राजा आउ नारा लाग्नु कारण नेपाली राजनितीक नेता निकम्मापन संविधान प्राप्त व्यवस्था सस्थागत नसक्ने आर्थिक बिकास काम चै नगर्ने अनि टीकछ सरकार
1,सेरे प्रचण्ड ओलि जना नाङ्गै बनायर सिमा कटाउनु
1,बिहे खोजे सुद्दी नगर्ने मिडिया यौन हिंग्सा बेला चाहि मिलिहाल्छ भनेर चुप बसे
1,पाहुना बाट सिक है गोबर गणेश नेता चीन तिब्रता समाउन
0,रवि लामिछाने रमेश प्रसाईं अपिल त्रिपाठी सहितकाे जनता मान्य पार्टी खाेल्नुपरयाे
1,सोम प्रसाद पाण्डे चाहीं गर्धन भाचीने हान्नु सर्बहारा बर्ग नेतृत्व खरब पती भैसके अझ तेस्तो भंछन भंदा हास्यास्पद अरु
1,पहिला सबित्री छक्का लात लाएर देश निकाल
1,विद्युत महशुल नतिर्ने बिजुली लाइन काट्ने होईन घाटी कातेर फ्याँक्नु यस्ता देश धमिरा बाच्ने अधिकार
0,सहि भर्स्ट्चार बिरुद्द यस्तै मान्छे
1,प्रोफिट यस्ता अनर्गल शिर्षक राख्न गरोस्
1,ठुला ठुला मान्छे गुमाउनु थियन
0,रबि दाइ गर्व छाती फुल्छ
1,माव बादी चिक्यो तेहा चि हिंसा भएन
1,घर गयर बाख्रा हेर बिचार यता नबोल्दा
0,रबि जी प्रधान मंत्री हुनै
1,ठुक् भालुनी जनता सेवा
0,दिपाक दाइ
1,ओटा दलाल भस्टाचारी आएछन कारेकरम सूरू हुदॉ छटपटाइ छन
1,जस्ता नारी देश राष्ट्रपति भन्न लाज श्रीमान हत्या जाठी थुलो लाज
0,कुलमान रबिदाजु महजाेडि जस्ता महान ब्यक्ति भय नेपाल बनाउनुपर्या हजुर
1,सगर सर पुन्य झापड लगाइदिनु हावा ताल बोल्छ यार पुन्य
0,साला कुकुर प्रचण्डे खाते तेरो खरानी दिन आइसक्यो नभुक छोएर देखा राजालाइ तेरो चाहिँ बकबास
1,सुनेर लाग्यो बिगत्देखी बेइमानी आय तिमि नतिरे तिम्रा सन्तान तिर्नु बुजि राख
1,साले इन्डियन मार्नु बस्न तयार जेल मार खाते
0,देश बनोस कानुन चै कडा
1,लोकतंत्र लुट तंत्र
0,रोल्पाली मौलिक गाजा बाजा स्वागत साह्रै खुशी लाग्यो
1,नगेन्द्र शाही बोले दिमाख तातियो
1,देश जमिन राज्य काे जनता रदेश घात हुदैन नेपाल जमिन झाेले झन्डे घात गरे अाफ्ने बनाउ छन
0,सुशील जी प्रश्न सोध्ने शैली उत्कृष्ट
0,जागिर आयकालाइ समर्थन गरिन्न बिबेकशिलसाझा
0,काम गर्नुस निर्णय नसुनाउनुस
1,ठिक है यिनि दुबै भ्रष्टाचार तेहि भएर आर्क पोल खोल्न बाध्य आखिर यस् माने बुझिन्छ् नेता जति भ्रष्ट प्रमाण
0,नेता पो हुनुपरोत
1,शाह बन्श आर्जे जोगा मुलुक यस् बाउ बाजे बिर्ता
1,थुतुनो बेसरी चल्ने अनि व्यवहार घटिया कारण देश परे जगजाहेर
1,तिहाइ सरकार लाज लाग्दैन
0,सलाम कुल्मान सर हजुर् पछी करोड लाख जनता ईनी असुल
1,रवी फसाउन किशोर श्रेष्ठ अझ फसाउने योजना बनाउँदै सावधान रवी सर
0,गगन थापा देश जनता आशा गरे प्रतिभावान नेता यीन बोले
1,गोरु पत्रकार हेर्नू
0,रबिन्द्र सर आउने पुस्ता परिवर्तन पुर्ण बिस्वस्त
1,नेपाली ज्यान मारा नेपाल प्रहरी चाहिदैन जन्तालाइ सुरक्षा प्रहरी
1,सब चोर
1,भ्रष्टाचारी जनताकाे रस चुसेर बस्ने
1,उधोगी बिल तिर्दैनन सिधै बम हान्दा
0,जीवित मध्य इमान्दार हक्कि जिब्रो नचपाइ प्रष्ट निस्वार्थभाव दृष्टिकोण नेता नारायणमान बिजुक्छे
1,तेरी सुड्डो अन्तरवार्ता दिन आलोचना हुदैन विकल्प समाधान उपाय खोइ दिन सके अन्तरवार्ता तार्किक निचोड दिन
1,सावित्री छक्क अनुहार थुक्क लोदर लाग्ने भो
1,तो किशोर पशु जेल नकोची नहुने भाछ यस्ता भाइरल भद्रगोल सिधाकुरा कार्यक्रम
1,सोम पाण्डे भ्रस्टाचारि मतियार लाग्यो
1,आत्मा घाती बम ठोक्नुपर्छ
1,प्रचन्ड देउवा होस भ्रस्टचारी जेल हुनू
0,राम बा बम्जन मुजि घन्टा गुरु
1,प्रहरी अथवा सुरक्षा कर्मि गल्ती तेस्लाइ कार्बाइ बर्खास्त तब सुरक्षा ब्यबस्थापन प्रहरी गरे गल्तिलाइ ढाकछोप हुदैन नेपाल प्रहरी सङ्गठन नराम्रो पक्ष
1,काठमाण्डू खलटो मैं चलाऊनू परने भोसोडी वाला
0,सालिन ब्याक्ती रबिन्द्र सर सिर्जनात्मक सोचाइ लागन आग्रह
0,रबिन्द्र सर आवाज जोस दम आश रबिन्द्र सर
0,कसम खायर आय युवा राजनिती रबि सपोर्ट लाग्नु मन परे लाइक गरौ है
0,कत्ती बिचलित नहुनु है
0,उत्कृष्ट पत्रकारिता रवि सुशील पर्छन पर्दैनन जनता यिनै उत्कृष्ट
